Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
"Abrazadera tubo tipo omega 2',  Volteck",AO-2,7501206681992,Volteck,26.0,9.0,Pieza,-17.0,-188.88888888888889
BOMBA PRESURIZADORA Z9S20245W,MGPRESURIZADOR,,All,3233.56,3294.7,Pieza,61.13999999999987,1.8557076516830024
CABLE POT 18 (MTS) ARGOS,POT18,,ABRAMEX,568.98,15.0,Pieza,-553.98,-3693.2
CADENA BOLITA NIQUELADA 3.2 MM 50MTS. REDURO,1629,7506452105254,ABRAMEX,588.26,20.0,Pieza,-568.26,-2841.3
CAMPANA COAX. C/CINCHO RG-6 GRUESA EKO,10732,,ABRAMEX,1.02,1.0,Pieza,-0.02,-2.0000000000000018
CODO COBRE 25mmX45o 1=X45o,CCOCOD2545,,LIMSA,80.52,77.0,Pieza,-3.519999999999996,-4.571428571428567
Candado de Hierro 25mm,FH25-B,798660207579,All,35.0,1.0,Pieza,-34.0,-3400.0
ESMERILADORA DE BATERIA 4 1/2 INALAMBRICO DEWALT XR BRUSHLESS 20V,,,All,77604.0,10864.56,Pieza,-66739.44,-614.2857142857143
FIBERCON MICROFIBRA 600 GRS.,1113-02-99,,IMAC,104.0,100.0,Pieza,-4.0,-4.0
FRANELA BLANCA X MT FRANB FOY,FRANB,660731275018,SURTEK,571.0,20.0,Pieza,-551.0,-2755.0
FRANELA GRIS X MT FRANG FOY,FRANG,660731275001,SURTEK,571.0,20.0,Pieza,-551.0,-2755.0
FRANELA ROJA X MT FRANR FOY,FRANR,660731275025,SURTEK,571.0,20.0,Pieza,-551.0,-2755.0
GUANTE DE VINILO DESECHABLE,GVI00M,,BYP,243.6,243.6,Pieza,0.0,0.0
GUANTE DE VINILO DESECHABLE,GVI00S,,BYP,243.6,243.6,Pieza,0.0,0.0
GUANTE DE VINILO DESECHABLE,GVI00L,,BYP,243.6,243.6,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE AZUL TALLA L CAJA CON 100 PZAS(50 PARES),GN600L,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE AZUL TALLA M CAJA CON 100 PZAS(50 PARES),GN600M,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE AZUL TALLA S CAJA CON 100 PZAS(50 PARES),GN600S,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE NEGRO TALLA L CAJA CON 100 PZAS(50 PARES),GN700L,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE NEGRO TALLA M CAJA CON 100 PZAS(50 PARES),GN700M,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE NEGRO TALLA S CAJA CON 100 PZAS(50 PARES),GN700S,,BYP,324.8,324.8,Pieza,0.0,0.0
GUANTE NITRILO DESECHABLE NEGRO TALLA XL CAJA CON 100 PZAS(50 PARES),GN700XL,,BYP,324.8,324.8,Pieza,0.0,0.0
LLAVE AJUSTABLE 12 PAVONADA  140432 FOY,140432,660731404326,FOY,1575.74,221.0,Pieza,-1354.74,-613.0045248868778
MASCARILLA KN95,KN95,,BYP,58.0,58.0,Pieza,0.0,0.0
MORTERO MONTERREY SACO,,,All,192.56,198.0,Pieza,5.439999999999998,2.7474747474747465
SACO DE PIEDRA PIÑON,,,All,185.0,185.0,Pieza,0.0,0.0
Soldadura 50x50 omega carrete 450gr x metro,x metro,,ABRAMEX,390.97,72.0,Pieza,-318.97,-443.0138888888889
"Soldadura con núcleo resina 50/50, tubería hidráulica (Por metro)",,,Truper,275.0,66.0,Pieza,-209.0,-316.66666666666663
"VAL ESF LATON ROSC 1"" P/COMP",,,METALFLU,184.33,1.0,Pieza,-183.33,-18333.0
"Varilla roscada, 1/4', 1 MTO",,,TAMEX,24.67,20.0,Pieza,-4.670000000000002,-23.35000000000001
