Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
"""ROTOMARTILLO INALAMBRICO BRUSHLESS DEWALT 1/2"""" 20 V. 2 BATERIAS 1 CARGADOR + CAJA PLASTICA""",,,All,3690.0,5166.0,Pieza,1476.0,28.57142857142857
'BLISTER SEGUETA BOSCH.MOD-T301CD C/5-PIEZAS,,,All,0.0,0.0,,0.0,
'CALADORA SIERRA INALAMBRICA  MAX XR DE 20 V. DEWALT  DCS 334B,,,All,0.0,0.0,,0.0,
"'Conector Armable tipo M12, Hembra, 4 Polos, Recto.",,,All,0.0,0.0,Pieza,0.0,
'MARCADOR TINTA PERMANENTE ESTERBROOK,,,All,0.0,0.0,,0.0,
1/2CUB. ESMALTE ESR PRO,,,All,1450.0,2030.0,Pieza,580.0,28.57142857142857
2085 INFRA 10-S DE 1/8,,,All,62.5,73.0,Pieza,10.5,14.383561643835616
2178 INFRA 6013 PUNTA NARANJA 1/8,,,All,70.0,98.0,Pieza,28.0,28.57142857142857
2195 INFRA 718 DE 1/8,,,All,85.0,119.0,Pieza,34.0,28.57142857142857
38LFCLED1542MV40S LUMINARIO INT LINEAL 38W 100-240V 40K,62LEDSS-231,,All,655.26,917.0,Pieza,261.74,28.543075245365323
8320 PORTAELECTRODO 300 AMPS 5- PE-300,,,All,381.25,533.75,Pieza,152.5,28.57142857142857
"AAP ADAPTADOR ESPIGA REDUCCION 1/2"" A 3/8""",ROSCA EXTERNA,,All,2.13,10.0,Pieza,7.87,78.7
"AAP CODO CUERDA INTERIOR 1/2""",,,All,6.640000000000001,12.0,Pieza,5.359999999999999,44.66666666666666
"AAP NIPLE UNION 1/2""",,,All,3.73,10.0,Pieza,6.27,62.7
"AAP NIPLE UNION 3/8""",,,All,2.45,5.0,Pieza,2.55,51.0
"AAP TEE 3/8""",,,All,3.59,15.0,Pieza,11.41,76.06666666666668
ABRAZADERA DE ARRANQUE 48MM (2),,,All,4.5,7.0,Pieza,2.5,35.714285714285715
ABRAZADERA DE ARRANQUE 60MM (2 1/2),,,All,5.0,8.0,Pieza,3.0,37.5
ABRAZADERA DE TENSION 48MM (2),,,All,4.5,7.0,Pieza,2.5,35.714285714285715
ABRAZADERA DE TENSION 60MM (2 1/2),,,All,4.5,7.0,Pieza,2.5,35.714285714285715
ABRAZADERA FIERRO GALV PARED DELGADA 13 MM,,,All,0.0,5.29,Pieza,5.29,100.0
ABRAZADERA UNICANAL P-TUBERIA 13-25 MM,,,All,0.0,5.88,Pieza,5.88,100.0
ABRAZADERA UNICANAL PARED DELGADA 1/2,,,All,6.5,10.0,Pieza,3.5,35.0
ABRAZADERA UNICANAL PARED DELGADA 3/4,,,All,7.2,12.0,Pieza,4.8,40.0
ABRAZADERA UNICANAL PARED GRUESA 1/2,,,All,5.0,8.0,Pieza,3.0,37.5
"ABRAZADERA UNICANAL PARED GRUESA 2""",,,All,8.07,12.0,Pieza,3.93,32.74999999999999
ABRAZADERA UNICANAL PARED GRUESA 3/4,,,All,5.0,9.0,Pieza,4.0,44.44444444444444
"ADAPTADOR ""Y"" DE ALUMINIO PARA MANGUERA",,,All,84.0,105.0,Pieza,21.0,20.0
ADAPTADOR ESPIGA PVC 50 MM,MGESPIGA,,All,24.0,37.0,Pieza,13.0,35.13513513513514
ADAPTADOR GALV ESPIGA PVC 100 MM.,,,All,52.0,67.0,Pieza,15.0,22.388059701492537
ADAPTADOR GALV ESPIGA PVC 50 MM.,,,All,14.0,18.0,Pieza,4.0,22.22222222222222
ADAPTADOR HEMBRA KITEC 5/8,,,All,83.0,100.0,Pieza,17.0,17.0
ADAPTADOR MACHO HIDRAULICO 1 C-40TEMP MAX 60G PRESION MAX,MACHOC40,,All,8.0,12.0,Pieza,4.0,33.33333333333333
ADAPTADOR MACHO HIDRAULICO 2 C-40TEMP MAX 60G PRESION MAX,,,All,0.0,24.55,Pieza,24.55,100.0
ADAPTADOR MACHO KITEC 5/8,,,All,78.0,95.0,Pieza,17.0,17.894736842105264
ADAPTADOR PVC ROSCA EXT 51 MM,MGPVCADAP,,All,17.0,25.0,Pieza,8.0,32.0
ADHESIVO NORMAL GRIS 50 KG MCA INTERCERAMIC,,,All,145.0,292.0,Pieza,147.0,50.34246575342466
ADHESIVO PEGAZULEJO BCO 50 KG MCA INTERCERAMIC,MGINTERBCO,,All,145.0,292.0,Pieza,147.0,50.34246575342466
ADHESIVO VL2000 CONT.17L.TAP L,,,All,0.0,3169.08,Pieza,3169.08,100.0
AFLOJATODO 13.2OZ. AEROSOL WD-40,,079567520221,All,127.25,170.0,Pieza,42.75,25.147058823529413
AKRON PREMIUM SP SAE 15W-40 0.946LT,,7502271010984,All,126.3,155.0,Pieza,28.700000000000003,18.516129032258068
AKRON PREMIUM SP SAE 20W-50 0.946LT,,7502271010991,All,92.24,130.0,Pieza,37.760000000000005,29.04615384615385
AKRON RESISTANCE API SL SAE 25W-50 0.946LT,,785639121080,All,97.05,136.0,Pieza,38.95,28.639705882352946
ALAMBRE GALVANIZADO .102 C-12.5 .099 2.51MM,,,All,33.0,42.0,Pieza,9.0,21.428571428571427
ALAMBRE GALVANIZADO CAL. 14,,,All,71.0,100.0,Kilogramo,29.0,29.0
ALAMBRE PUAS ALTA RESISTENCIA 360 MT,,,All,630.0,788.0,Pieza,158.0,20.050761421319795
ALAN VAL.NARIZ 1/2 CROMO ECO610E,,,All,137.0,178.0,Pieza,41.0,23.03370786516854
ALAN VALVULA 1/2,MGVALVALAN12,,All,92.68,129.75,Pieza,37.06999999999999,28.57032755298651
ALCAYATA VARILLA 3/8,MGALCA10,,All,5.0,15.0,Pieza,10.0,66.66666666666666
AMORTIGUADOR D/IMPACTO 1.83 M C/CABLE BA,,,All,1200.0,1560.0,Pieza,360.0,23.07692307692308
ANGULO DE AMARRE 3.05 CAL.26,,,All,0.0,45.4,Pieza,45.4,100.0
ANTICONGELANTE LPU (33%) 1.0 LT AKRON,,785639120410,All,43.34,57.0,Pieza,13.659999999999997,23.964912280701743
APAGADOR SENCILLO MARCA LEVITON 100,MGLEVITONAPAG,,All,0.0,116.14,Pieza,116.14,100.0
APAGADOR SENCILLO MODUS MARFIL,,,All,35.0,51.0,Pieza,16.0,31.37254901960784
APLICACIÓN DE AISLANTE TERMICO DE POLIURETANO CON RETARDANTE A LA FLAMA EN EXTERIOR DE TECHO DE LAMINA ACANALADA CON UN ESPESOR DE 1”,,,All,0.0,354.9,M2,354.9,100.0
APLICACIÓN DE IMPERMEABILIZANTE ACRILICO COLOR TERRACOTA INCLUYE.:  APLICACIÓN DE SELLO ACRILICO EN TODA EL AREA. APLICACIÓN DE PRIMER CAPA DE IMPERMEABILIZANTE ACRILICO ROJO.  APLICACIÓN DE SEGUNDA CAPA DE IMPERMEABILIZANTE ACRILICO ROJO.,,,All,0.0,143.0,M2,143.0,100.0
AQ CALENTADOR DE 15 TUBOS AQUASOL,,,All,3703.66,4720.0,Pieza,1016.34,21.532627118644072
ARMEX 12X30X4,,,All,230.0,285.0,Pieza,55.0,19.29824561403509
ARMEX 15-15-4 REFORZADO,,,All,280.0,375.0,Pieza,95.0,25.333333333333336
ARMEX 15-15-4 SENCILLO,,,All,0.0,245.0,Pieza,245.0,100.0
ARMEX 15-20-4 REFORZADO,,,All,280.0,375.0,Pieza,95.0,25.333333333333336
ARMEX 15-20-4 SENCILLO,,,All,172.0,245.0,Pieza,73.0,29.795918367346943
ARMEX 15-30-4 SENCILLO,,,All,207.0,245.0,Pieza,38.0,15.510204081632653
ARMEX 15X15-4 SENCILLO Tramo 6mts,MGARMEX15,,All,118.0,172.0,Pieza,54.0,31.3953488372093
ARMEX 15X20-4 1/4 PZA,,,All,133.0,188.5,Pieza,55.5,29.44297082228117
