Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
'BLISTER SEGUETA BOSCH.MOD-T301CD C/5-PIEZAS,,,All,0.0,0.0,,0.0,
'CALADORA SIERRA INALAMBRICA  MAX XR DE 20 V. DEWALT  DCS 334B,,,All,0.0,0.0,,0.0,
'MARCADOR TINTA PERMANENTE ESTERBROOK,,,All,0.0,0.0,,0.0,
"BORLA PARA PULIR 7"" BOP7",BOP7,,ABRAMEX,56.71,80.0,,23.29,29.1125
CINTA FIBRA DE VIDRIO 45.72 M,,,All,100.79,131.03,,30.239999999999995,23.07868427077768
COLADOR DE FREGADERO MALLA,XT-81058,7503106531438,MG,20.3,30.0,,9.7,32.33333333333333
CONSTRUCTORA DUSIF,,,All,0.0,1.0,,1.0,100.0
CRIMPADORA (PONCHADORA) MANUAL  KO5 SYNCRO  8  A 1/0 GREENLEE,,,All,9143.28,12800.59,,3657.31,28.57141741122869
CRIMPADORA (PONCHADORA) MANUAL  KO9 SYNCRO  1/0 A 250  GREENLEE,,,All,13023.66,18233.12,,5209.459999999999,28.57141290135753
Cinchos de plástico 200m POR PIEZA,CIN-5020,,Volteck,1.07,1.5,,0.4299999999999999,28.666666666666664
Despachador 13 compartimentos para brocas HSS con producto,,,All,0.0,1.0,,1.0,100.0
ESMERILADORA ANGULAR  MAKITA  MTM9510,,,All,1086.0,1520.0,,434.0,28.55263157894737
"FLEJE INOXIDABLE 3/4"" x 30.5M x .020""",FLEA1234,,All,1952.92,2734.1,,781.1799999999998,28.57174207234556
GARRA/TRAPO x  KG,TRAPO,,MG,35.71,50.0,,14.29,28.58
HILUX CHASIS CABINA,,,All,0.0,1.0,,1.0,100.0
"Hule rojo sbr de 1/8"" x 1 mto de ancho x 10 metro largo",,,All,707.6,990.64,,283.04,28.57142857142857
J.R MANTENIMIENTO Y CONSTRUCCIÓN,,,All,0.0,1.0,,1.0,100.0
Laina grande 11x12.5 c/mango CG03M Frasa,CG03M,,GAFI,7.35,15.0,,7.65,51.0
MACOPLAY 12 MM 1.22X2.44M (PZA),,,All,0.0,874.58,,874.58,100.0
MANILLON,,,All,0.0,1.0,,1.0,100.0
MDF 12 MM 1.22X2.44 M (PZA),,,All,0.0,584.46,,584.46,100.0
MDF 16 MM 1.22X2.44 M (PZA),,,All,0.0,811.36,,811.36,100.0
MDF 18 MM 1.22X2.44 M (PZA),,,All,0.0,911.32,,911.32,100.0
MEZCLADORA LAVABO MONOMANDO 30CM,,,All,0.0,1.0,,1.0,100.0
Mezcl monomando lavabo laton t/std man/pal negra Vianti,MLMZ-004,,GAFI,484.09,678.0,,193.91000000000005,28.60029498525074
NIPLE GALVANIZADO 25mmX2,nmvnip25x2,,LIMSA,17.0,23.0,,6.0,26.08695652173913
PANEL 19.8MM TOTALMATTE (M2),,,All,0.0,1982.42,,1982.42,100.0
PROTECTORES DE ESQUINAS DE PLÁSTICO,LOT:SH122,x002664io1,MG,10.71,15.0,,4.289999999999999,28.59999999999999
PROTECTORES PARA CONTACTO CONTACTO DE PLÁSTICO,PCPLAS,,MG,10.71,15.0,,4.289999999999999,28.59999999999999
PVC ESPUMADO 244X122 6MM BLANCO,,,All,429.2,600.88,,171.68,28.571428571428577
"Prensa mini de hierro nodular de 50 mm 2"" Nodular Iron mini C-Clamp",,,Truper,0.0,1.0,,1.0,100.0
SOLERA DE ACERO,,,All,0.0,1.0,,1.0,100.0
TOPE 12 INOX,,,All,0.0,1.0,,1.0,100.0
"Tarugos de Madera, WoodTack, MXWTK-008, Medida 1/2"", 12.7mm",,,All,0.0,1.3,,1.3,100.0
YEE 150 SENCILLA SAN PVC CEM,,,LIMSA,125.62,176.0,,50.38,28.625
ventas,,,General,0.0,0.0,,0.0,
