Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
'BLISTER SEGUETA BOSCH.MOD-T301CD C/5-PIEZAS,,,All,0.0,0.0,,0.0,
'CALADORA SIERRA INALAMBRICA  MAX XR DE 20 V. DEWALT  DCS 334B,,,All,0.0,0.0,,0.0,
"'Conector Armable tipo M12, Hembra, 4 Polos, Recto.",,,All,0.0,0.0,Pieza,0.0,
'MARCADOR TINTA PERMANENTE ESTERBROOK,,,All,0.0,0.0,,0.0,
/ACEITE MINERAL PARA COMPRESOR 1000ML,,,MG,0.0,170.0,Pieza,170.0,100.0
/APAGADOR DE PASO DESLIZABLE 10A 127V MONTANA,AP-P1804,7506006800734,ABRAMEX,0.0,13.0,Pieza,13.0,100.0
/CINTILLA P/TELA CICLONICA VERDE OLIVO PVC 55MM 1MT RYR,CTCG1M,,ABRAMEX,0.0,7.5,Pieza,7.5,100.0
/TELA PARA MOSQUITERO DE ALUMINIO 1.05 X 30M; 1 MTRO.,,,SURTEK,0.0,75.0,Pieza,75.0,100.0
ABANICO ELECTRICO 3 ASPAS BLANCO 127V 75W,MYAB1957,7506069063800,ANBEC,0.0,1080.0,Pieza,1080.0,100.0
ABRAZADERA FIERRO GALV PARED DELGADA 13 MM,,,All,0.0,5.29,Pieza,5.29,100.0
ABRAZADERA METALICA PARA DUCTO DE ALUMINIO 4 PULGADAS PAQ C/2PZAS ANBEC,ANAM1931,7506069067327,ANBEC,0.0,32.5,Pieza,32.5,100.0
ABRAZADERA METALICA PARA MOTOR DE AIRE ACONDICIONADO 1 PAR,MYAM1012,7506069082979,ANBEC,0.0,20.8,Pieza,20.8,100.0
ABRAZADERA OMEGA GALVANIZADA 1 1/2 STROM,AO112,7506069001185,ANBEC,0.0,5.3,Pieza,5.3,100.0
ABRAZADERA OMEGA GALVANIZADA 1 1/2 STROM (copia),,,ANBEC,0.0,5.3,Pieza,5.3,100.0
ABRAZADERA OMEGA GALVANIZADA 1 3/4 STROM,AO134,7506069001192,ANBEC,0.0,5.7,Pieza,5.7,100.0
ABRAZADERA OMEGA GALVANIZADA 1 STROM,AO1,7506069001161,ANBEC,0.0,3.2,Pieza,3.2,100.0
ABRAZADERA OMEGA GALVANIZADA 1-1/4 STROM,AO114,7506069001178,ANBEC,0.0,7.0,Pieza,7.0,100.0
ABRAZADERA OMEGA GALVANIZADA 1/2 STROM,AO12,7506069001147,ANBEC,0.0,2.4,Pieza,2.4,100.0
ABRAZADERA OMEGA GALVANIZADA 2 STROM,AO2,7506069001208,ANBEC,0.0,8.7,Pieza,8.7,100.0
ABRAZADERA OMEGA GALVANIZADA 3/4 STROM,AO34,7506069001154,ANBEC,0.0,2.5,Pieza,2.5,100.0
ABRAZADERA SIN FIN #12 1/2 A 1-1/4 ANBEC,ASF12,7506069000881,ANBEC,0.0,10.8,Pieza,10.8,100.0
ABRAZADERA SIN FIN #16 13/16 A 1-1/2 ANBEC,ASF16,7506069000898,ANBEC,0.0,10.8,Pieza,10.8,100.0
ABRAZADERA SIN FIN #20 3/4 A 1-3/4 100% ACERO INOX ANBEC,AAI20,7506069001017,ANBEC,0.0,12.0,Pieza,12.0,100.0
ABRAZADERA SIN FIN #20 3/4 A 1-3/4 ANBEC,ASF20,7506069000904,ANBEC,0.0,10.8,Pieza,10.8,100.0
ABRAZADERA SIN FIN #24 1-1/4 A 2 100% ACERO INOX ANBEC,AAI24,7506069057649,ANBEC,0.0,13.0,Pieza,13.0,100.0
ABRAZADERA SIN FIN #24 1-1/4 A 2 ANBEC,ASF24,7506069000911,ANBEC,0.0,12.0,Pieza,12.0,100.0
ABRAZADERA SIN FIN #28 1-1/2 A 2-1/4 ANBEC,ASF28,7506069000928,ANBEC,0.0,12.5,Pieza,12.5,100.0
ABRAZADERA SIN FIN #32 1-9/16 A 2-1/2 100% ACERO INOX ANBEC,AAI32,7506069001048,ANBEC,0.0,13.0,Pieza,13.0,100.0
ABRAZADERA SIN FIN #32 1-9/16 A 2-1/2 ANBEC,ASF32,7506069000935,ANBEC,0.0,13.5,Pieza,13.5,100.0
ABRAZADERA SIN FIN #36 1-13/16 A 2-3/4 100% ACERO INOX  ANBEC,AAI36,7506069001086,ANBEC,0.0,14.0,Pieza,14.0,100.0
ABRAZADERA SIN FIN #36 1-13/16 A 2-3/4 ANBEC,ASF36,7506069000942,ANBEC,0.0,13.5,Pieza,13.5,100.0
ABRAZADERA SIN FIN #36 1-13/16 A 2-3/4 VOL,,,Volteck,0.0,13.5,Pieza,13.5,100.0
ABRAZADERA SIN FIN #48 2-9/16 A 3-1/2 100% ACERO INOX ANBEC,AAI48,7506069001093,ANBEC,0.0,15.5,Pieza,15.5,100.0
ABRAZADERA SIN FIN #56 2 A 4 100% ACERO INOX ANBEC,AAI56,7506069001277,ANBEC,0.0,16.5,Pieza,16.5,100.0
ABRAZADERA SIN FIN #64 3-9/16 A 4-1/2 100% ACERO INOX ANBEC,AAI64,7506069001109,ANBEC,0.0,16.5,Pieza,16.5,100.0
ABRAZADERA SIN FIN #72 4-1/8 A 5 100% ACERO INOX ANBEC,AAI72,7506069001116,ANBEC,0.0,20.0,Pieza,20.0,100.0
ABRAZADERA SIN FIN #80 4-5/8 A 5-1/2 100% ACERO INOX ANBEC,AAI80,7506069001123,ANBEC,0.0,20.0,Pieza,20.0,100.0
ABRAZADERA SIN FIN 06 7/16 A 3/4 ANBEC,ASF06,7506069000850,ANBEC,0.0,3.6,Pieza,3.6,100.0
ABRAZADERA SIN FIN 08 5/8 A 1ANBEC,ASF08,7506069000867,ANBEC,0.0,10.2,Pieza,10.2,100.0
ABRAZADERA SIN FIN 28 1-1/2 A 2-1/4  ACERO INOX ANBEC,AAI28,7506069057632,ANBEC,0.0,13.0,Pieza,13.0,100.0
ABRAZADERA SIN FIN NUM 04 3/8 A 5/8 ANBEC,ASF04,7506069000843,ANBEC,0.0,3.6,Pieza,3.6,100.0
ABRAZADERA SIN FIN NUM 06 7/16 A 3/4 ACERO INOX ANBEC,AAI06,7506069000966,ANBEC,0.0,5.7,Pieza,5.7,100.0
ABRAZADERA SIN FIN NUM 08 5/8 A 1 100 ACERO INOX ANBEC,AAI08,7506069000973,ANBEC,0.0,11.0,Pieza,11.0,100.0
ABRAZADERA SIN FIN NUM 10 9/16 A 11/16 ACERO INOX ANBEC,AAI10,7506069000980,ANBEC,0.0,11.0,Pieza,11.0,100.0
ABRAZADERA SIN FIN NUM 12 1/2 A 1-1/4 ACERO INOX ANBEC,AAI12,7506069000997,ANBEC,0.0,11.5,Pieza,11.5,100.0
ABRAZADERA SIN FIN NUM 16 13/16 A 1-1/2 ACERO INOX ANBEC,AAI16,7506069001000,ANBEC,0.0,12.0,Pieza,12.0,100.0
ABRAZADERA SIN FIN NUM 96 5-5/8 A 6-1/2 ACERO INOX ANBEC,AAI96,7506069001130,ANBEC,0.0,23.0,Pieza,23.0,100.0
ABRAZADERA SIN FIN NUM04 3/8 A 5/8 ACERO INOX ANBEC,AAI04,7506069000959,ANBEC,0.0,5.7,Pieza,5.7,100.0
ABRAZADERA SIN FIN No 10 9/16 A 1 1/16 ANBEC,ASF10,7506069000874,ANBEC,0.0,10.2,Pieza,10.2,100.0
ABRAZADERA TIPO UNA GALVANIZADA 1,12-007-1,,EL TORNILLO,0.0,10.0,Pieza,10.0,100.0
ABRAZADERA UNICANAL P-TUBERIA 13-25 MM,,,All,0.0,5.88,Pieza,5.88,100.0
