Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
'BLISTER SEGUETA BOSCH.MOD-T301CD C/5-PIEZAS,,,All,0.0,0.0,,0.0,
'CALADORA SIERRA INALAMBRICA  MAX XR DE 20 V. DEWALT  DCS 334B,,,All,0.0,0.0,,0.0,
"'Conector Armable tipo M12, Hembra, 4 Polos, Recto.",,,All,0.0,0.0,Pieza,0.0,
'MARCADOR TINTA PERMANENTE ESTERBROOK,,,All,0.0,0.0,,0.0,
ABRAZADERA UÑA 3/8              500,7708,,ABRAMEX,0.96,1.0,Pieza,0.04,4.000000000000004
ALAMBRE PARA COLGAR VERDE 30 MTS,975771,,HOME DEPOT,0.0,1.0,Pieza,1.0,100.0
ALCAYATA GALVANIZADA 16x20,16-009-16X20,,EL TORNILLO,0.31,1.0,Pieza,0.69,69.0
ARMELLA ABIERTA GALVANIZADA 17x40,16-002-17X40,,EL TORNILLO,0.37,1.0,Pieza,0.63,63.0
ARMELLA CERRADA GALVANIZADA 16X30,,,EL TORNILLO,0.0,1.0,Pieza,1.0,100.0
ARMELLA CERRADA GALVANIZADA 17X40,16-001-17X40,,EL TORNILLO,0.25,1.0,Pieza,0.75,75.0
ARMELLA CERRADA GALVANIZADA 18X50,16-001-18X50,,EL TORNILLO,0.47,1.0,Pieza,0.53,53.0
Abrazadera tipo 'U' CPVC 1/2',CPVC-401,7506240663157,limsa,0.5,0.8,Pieza,0.3,37.50000000000001
"Bolsa plástica, 20 x 40 cm",BOPO-20X38,7501206690499,Truper,0.5,1.0,Pieza,0.5,50.0
Boquilla penetradora,,,All,0.0,0.0,Pieza,0.0,
Boquilla sanitaria,,,All,0.0,0.0,Pieza,0.0,
CADENA BOLITA CONECTOR SEGURO P/CADENA 3.2MM REDURO,7561,,ABRAMEX,0.96,1.0,Pieza,0.04,4.000000000000004
CAMPANA COAX. C/CINCHO RG-6 GRUESA EKO,10732,,ABRAMEX,1.02,1.0,Pieza,-0.02,-2.0000000000000018
CHAVETA PULIDA 1/16x1,37-001-1/16X1,,EL TORNILLO,0.17,0.5,Pieza,0.3299999999999999,65.99999999999999
CHAVETA PULIDA 1/16x1-1/4,37-001-1/16X1-1/4,,EL TORNILLO,0.18,0.5,Pieza,0.32,64.0
CHAVETA PULIDA 1/16x1/2,37-001-1/16X1/2,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
CHAVETA PULIDA 1/16x3/4,37-001-1/16X3/4,,EL TORNILLO,0.21,0.5,Pieza,0.29,58.00000000000001
CHAVETA PULIDA 1/8X1/2,37-001-1/8X1/2,,EL TORNILLO,0.23,1.0,Pieza,0.77,77.0
CHAVETA PULIDA 1/8X3/4,37-001-1/8X3/4,,EL TORNILLO,0.25,1.0,Pieza,0.75,75.0
CHAVETA PULIDA 532X1,CHAVP532X1,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
CHAVETA PULIDA 532X1/2,CHAVP532X1/2,,EL TORNILLO,0.35,1.0,Pieza,0.65,65.0
CHAVETA PULIDA 532X11/2,CHAVP532X11/2,,EL TORNILLO,0.49,1.0,Pieza,0.51,51.0
CHAVETA PULIDA 532X3/4,CHAVP532X3/4,,EL TORNILLO,0.33,1.0,Pieza,0.6699999999999999,67.0
CINCHO DE PLASTICO 100X2.5MM 1 PIEZA NATURAL 114200 SURTEK,,,SURTEK,0.0,1.0,Pieza,1.0,100.0
CONECTOR PARA VARILLA,519-AC194,,TAMEX,0.0,1.0,Pieza,1.0,100.0
CONSTRUCTORA DUSIF,,,All,0.0,1.0,,1.0,100.0
CT CORREDERA NYLON P/CORTINERO (PZ),9869,,ABRAMEX,0.19,0.28,Pieza,0.09,32.14285714285715
Candado de Hierro 25mm,FH25-B,798660207579,All,35.0,1.0,Pieza,-34.0,-3400.0
"Clavillo dorado, 17 mm, caja con 500 piezas X PZA",44901,,Fiero,0.0,1.0,Pieza,1.0,100.0
Codo HCO Inglés C/C 90 X 6”,,,All,0.0,0.0,Pieza,0.0,
Codo alcantarillado 90X6”,,,All,0.0,0.0,Pieza,0.0,
Copia de reparación HCO inglés 6”,,,All,0.0,0.0,Pieza,0.0,
Cople PVC serie 20 de 10” de diámetro.,,,All,0.0,0.0,Pieza,0.0,
Cople PVC serie 20 de 8” de diámetro.,,,All,0.0,0.0,Pieza,0.0,
Despachador 13 compartimentos para brocas HSS con producto,,,All,0.0,1.0,,1.0,100.0
EMPAQUE DE NEOPRENO VULCANIZADO GALVANIZADO NO63 1/4x16,09-028-1/4x16,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
EXTREMIDAD DE FOFO DE 18” DE DIAMETRO,,,All,0.0,0.0,Pieza,0.0,
GALV PIJA HEXAGONAL PARA LAMINA 10X1,PHLAMG010025,,EL TORNILLO,0.27,1.0,Pieza,0.73,73.0
GALV PIJA HEXAGONAL PARA LAMINA 10X1/2,PHLAMG010013,,EL TORNILLO,0.21,0.5,Pieza,0.29,58.00000000000001
GALV PIJA HEXAGONAL PARA LAMINA 10X11/2,PHLAMG010038,,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
GALV PIJA HEXAGONAL PARA LAMINA 10X3/4,PHLAMG010019,,EL TORNILLO,0.24,0.5,Pieza,0.26,52.0
GALV PIJA HEXAGONAL PARA LAMINA 12X1,PHLAMG012025,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
GALV PIJA HEXAGONAL PARA LAMINA 12X1/2,PHLAMG012013,,EL TORNILLO,0.31,1.0,Pieza,0.69,69.0
GALV PIJA HEXAGONAL PARA LAMINA 12X11/2,PHLAMG012038,,EL TORNILLO,0.46,1.0,Pieza,0.54,54.0
GALV PIJA HEXAGONAL PARA LAMINA 12X3/4,PHLAMG012019,,EL TORNILLO,0.39,1.0,Pieza,0.61,61.0
GALV PIJA HEXAGONAL PARA LAMINA 14X1,PHLAMG014025,,EL TORNILLO,0.39,1.0,Pieza,0.61,61.0
GALV PIJA HEXAGONAL PARA LAMINA 14X1/2,PHLAMG014013,,EL TORNILLO,0.39,1.0,Pieza,0.61,61.0
GALV PIJA HEXAGONAL PARA LAMINA 14X11/4,PHLAMG014032,,EL TORNILLO,0.5,1.0,Pieza,0.5,50.0
GALV PIJA HEXAGONAL PARA LAMINA 14X3/4,PHLAMG014019,,EL TORNILLO,0.35,1.0,Pieza,0.65,65.0
GALV PIJA HEXAGONAL PARA LAMINA 8X1,PHLAMG008025,,EL TORNILLO,0.2,0.5,Pieza,0.3,60.0
GALV PIJA HEXAGONAL PARA LAMINA 8X1/2,PHLAMG008013,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
GALV PIJA HEXAGONAL PARA LAMINA 8X3/4,PHLAMG008019,,EL TORNILLO,0.18,0.5,Pieza,0.32,64.0
GALV PIJA K-LATH PUNTA DE BROCA 8X15/8,PKLPBG008041,,EL TORNILLO,0.33,1.0,Pieza,0.6699999999999999,67.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 1/4X1/2,PLPPHG014013,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
GALV PIJA PARA LAMINA PLANA PHILLIPS 1/4X11/4,PLPPHG014032,,EL TORNILLO,0.46,1.0,Pieza,0.54,54.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 1/4X3/4,09-023-1/4X3/4,,EL TORNILLO,0.33,1.0,Pieza,0.6699999999999999,67.0
