"Nombre","Referencia interna","Código de barras","Categoría de producto","Coste","Precio de venta","Unidad SAT"
"""ROTOMARTILLO INALAMBRICO BRUSHLESS DEWALT 1/2"""" 20 V. 2 BATERIAS 1 CARGADOR + CAJA PLASTICA""","","","All","3690.0","5166.0","Pieza"
"'BLISTER SEGUETA BOSCH.MOD-T301CD C/5-PIEZAS","","","All","0.0","0.0",""
"'CALADORA SIERRA INALAMBRICA  MAX XR DE 20 V. DEWALT  DCS 334B","","","All","0.0","0.0",""
"'Conector Armable tipo M12, Hembra, 4 Polos, Recto.","","","All","0.0","0.0","Pieza"
"'MARCADOR TINTA PERMANENTE ESTERBROOK","","","All","0.0","0.0",""
"*HELVEX SECADOR MANOS MB-1012/AIBACABADO ALUMINIO ESPEJO TURBO=S/P=","","","LIMSA","11080.95","13855.0","Pieza"
"/ ASPIRADORA 12 GAL 6HP AS612A SURTEK","AS612A","660731523881","SURTEK","2766.0","4011.0","Pieza"
"/ BERBIQUI PROFESIONAL CON MATRACA 12 BCM10 SURTEK","BCM10","660731190014","SURTEK","460.0","667.0","Pieza"
"/ BOMBA DE AIRE CUERPO DE ALUMINIO CON MANOMETRO 23 107999 SURTEK","107999","660731079999","SURTEK","307.0","445.0","Pieza"
"/ BOMBA DE AIRE CUERPO PLASTICO CON MANOMETRO 23 107991 SURTEK","107991","660731079913","SURTEK","269.0","390.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA 2 GAVETAS 125107 SURTEK","125107","660731251074","SURTEK","938.0","1360.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA 3 GAVETAS 125111 SURTEK","125111","660731251111","SURTEK","1031.0","1495.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA 36X16X15 CM TB08 SURTEK","TB08","660731240030","SURTEK","343.0","497.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA 43X13X16 CM TB12 SURTEK","TB12","660731240047","SURTEK","380.0","551.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA P/ JUEGOS 43X13X5 CM TB01 SURTEK","TB01","660731240016","SURTEK","214.0","310.0","Pieza"
"/ CAJA PORTAHERRAMIENTAS METALICA P/ JUEGOS 49X15X5CM TB02 SURTEK","TB02","660731240023","SURTEK","256.0","371.0","Pieza"
